signup_country_code,marketing_channel_id,signup_platform,gender,is_paid_channel,subscription_date,net_revenue,subscription_count
CL,,ios,female,false,2016-12-05,0,1
AR,2,android,female,true,2016-12-11,84,6
NZ,1,ios,female,false,2016-12-25,0,1
MX,,ios,female,false,2017-01-02,20.993,6
US,3,ios,female,true,2017-01-15,167.972,24
MX,1,ios,female,false,2017-01-17,125.986,8
ES,,android,female,false,2017-01-30,0,3
US,18,android,female,true,2017-01-31,221.63,22
CH,18,android,female,true,2016-10-02,38.62879756597534,2
CA,1,android,male,false,2016-10-05,38.329598496630446,2
FR,,ios,male,false,2016-10-18,0,1
NI,2,android,female,true,2016-10-30,21,2
US,2,android,male,true,2016-10-27,27.993001174926757,5
CH,2,android,female,true,2016-11-15,97.10315965982645,6
AU,18,ios,female,true,2016-12-28,20.993,1
CA,2,android,female,true,2017-01-02,366.1875256983189,36
CO,2,ios,male,true,2017-01-05,125.979,8
CA,1,android,male,false,2017-01-19,99.4699540863121,5
ES,2,ios,female,true,2017-01-10,336.55265843876373,39
CA,1,ios,female,false,2017-01-15,280.872,16
FR,18,ios,female,true,2017-01-16,41.993,1
AR,18,android,female,true,2017-01-26,42,2
US,3,ios,female,true,2017-01-26,251.972,20
AU,1,ios,male,false,2017-01-29,79.60300000000002,5
US,9,android,male,true,2017-01-29,184.02,10
AU,2,ios,male,true,2017-01-30,121.6206175233552,5
US,1,ios,male,false,2016-11-08,353.5,26
FR,1,android,female,false,2016-12-04,17.215407293584292,1
PY,2,ios,male,true,2016-11-07,0,1
US,18,android,female,true,2016-11-13,205.02,20
PE,2,android,female,true,2016-11-24,0,2
US,2,android,female,true,2016-12-02,394.02,30
MX,2,ios,female,true,2016-12-14,0,3
LU,1,ios,female,false,2016-12-26,41.993,1
AU,2,ios,male,true,2016-12-30,62.986,7
MX,18,android,male,true,2017-01-09,0,2
DE,1,android,male,false,2017-01-18,179.65534140232634,9
DO,1,ios,female,false,2017-01-21,0,2
US,1,ios,male,false,2016-12-12,272.965,29
ES,1,ios,female,false,2016-11-22,0,2
US,1,ios,female,false,2016-10-29,513.4,26
ES,1,android,female,false,2016-11-08,33.543934683814996,1
AR,1,ios,male,false,2016-11-23,0,2
CA,2,android,female,true,2016-12-12,21.312823943212752,2
US,,ios,female,false,2016-12-17,167.979,14
NZ,1,ios,female,false,2016-12-22,0,1
US,1,ios,male,false,2017-01-05,770.3520000000002,51
IE,18,android,male,true,2017-01-07,0,1
ZA,2,ios,male,true,2017-01-11,41.993,5
FR,1,ios,female,false,2017-01-11,209.979,9
US,18,android,female,true,2017-01-12,210,25
ES,6,ios,male,true,2017-01-16,167.979,13
PH,1,ios,male,false,2017-01-17,0,2
AE,18,ios,female,true,2017-01-21,0,2
GT,2,ios,male,true,2017-01-29,83.986,5
FR,,ios,female,false,2016-10-01,125.979,7
CH,1,ios,female,false,2016-10-11,0,1
AE,1,ios,female,false,2016-10-25,83.986,2
CH,2,android,female,true,2016-10-26,38.62879756597534,5
CA,3,ios,female,true,2016-11-06,0,1
ID,1,ios,female,false,2016-11-13,41.993,1
US,18,ios,female,true,2016-11-15,41.993,8
IN,1,ios,male,false,2016-11-22,0,2
US,1,ios,female,false,2016-11-30,356.944,33
US,3,ios,male,true,2016-12-03,20.993,5
US,18,android,female,true,2016-12-09,226.02,15
CA,9,android,female,true,2016-12-26,39.63559781602357,1
US,,android,male,false,2016-12-27,0,4
CA,11,android,female,false,2016-12-29,38.44252864899334,1
LV,2,ios,female,true,2016-12-30,0,3
CL,,ios,male,false,2017-01-01,0,1
KW,2,ios,male,true,2017-01-03,0,2
AE,2,ios,male,true,2017-01-03,83.986,6
AR,2,android,male,true,2017-01-04,294,18
CA,1,ios,female,false,2017-01-09,104.979,15
US,13,android,female,false,2017-01-20,0,2
US,4,ios,female,true,2017-01-21,251.951,24
NZ,1,ios,female,false,2016-10-09,0,2
FR,1,android,female,false,2016-10-31,0,1
PE,2,ios,female,true,2017-01-27,83.986,5
CO,2,ios,female,true,2017-01-29,62.986,7
MX,2,ios,female,true,2017-01-29,142.589,13
MX,1,ios,male,false,2016-11-16,69.986,3
AR,2,ios,female,true,2016-12-01,209.965,7
CA,3,ios,male,true,2016-12-01,62.986,3
SG,,ios,male,false,2016-11-12,0,1
CR,2,ios,female,true,2016-11-20,41.993,2
EC,2,ios,female,true,2016-12-01,41.993,2
CR,1,ios,male,false,2016-12-02,0,1
CA,1,ios,female,false,2016-12-13,0,2
HK,6,ios,female,true,2016-12-15,0,2
US,18,android,female,true,2017-01-03,336,50
GT,4,ios,female,true,2017-01-03,41.993,1
FR,2,ios,female,true,2017-01-04,293.944,25
MX,2,android,female,true,2017-01-06,31.67574924824831,11
CL,2,android,male,true,2017-01-06,116.04,2
IT,2,ios,female,true,2017-01-07,0,1
MT,2,ios,male,true,2017-01-16,41.993,2
AU,,ios,female,false,2017-01-23,41.993,3
AU,,ios,male,false,2016-10-11,0,2
US,18,android,female,true,2016-10-27,167.95800704956054,13
US,2,ios,female,true,2016-10-29,104.979,8
US,1,android,male,false,2016-10-30,231,11
MY,,ios,female,false,2016-10-31,0,1
US,18,ios,female,true,2016-11-05,83.993,5
US,2,ios,female,true,2017-01-28,125.979,13
FR,1,ios,female,false,2017-01-29,357.8004200049659,18
ES,1,ios,male,false,2017-01-30,251.96499999999995,16
IE,,android,male,false,2016-11-15,0,1
US,2,ios,male,true,2016-11-16,76.979,14
CA,2,ios,female,true,2016-11-23,0,5
MX,2,android,female,true,2016-11-24,0,7
DK,2,ios,male,true,2016-11-30,0,1
US,3,ios,female,true,2016-12-04,83.986,7
CA,6,ios,male,true,2016-12-30,62.986,2
US,3,ios,female,true,2017-01-07,545.902,37
SI,2,ios,female,true,2017-01-08,83.986,3
DE,1,ios,female,false,2017-01-10,167.979,15
CA,6,ios,male,true,2017-01-10,83.986,3
PE,,android,male,false,2017-01-17,0,1
MX,6,ios,female,true,2017-01-22,125.979,8
DE,,ios,male,false,2017-01-25,0,1
CH,1,ios,male,false,2017-01-26,104.979,5
CH,6,android,female,true,2017-01-27,116.55104713374892,8
CO,2,ios,female,true,2016-11-19,20.993,3
ES,1,ios,female,false,2016-11-06,0,1
DE,,ios,female,false,2016-10-16,41.993,4
US,,ios,female,false,2016-10-16,335.958,19
BH,18,android,female,true,2016-10-18,0,1
AE,18,android,female,true,2016-10-22,0,1
CA,3,ios,male,true,2016-10-24,0,1
US,1,android,female,false,2016-11-18,84,7
PA,2,ios,female,true,2016-11-04,42,1
CH,2,android,male,true,2016-11-06,524.4213269222777,21
FR,,android,male,false,2016-11-09,33.79984209097189,1
FR,1,ios,male,false,2016-12-10,83.986,10
US,,android,female,false,2016-12-11,84,5
VN,1,android,female,false,2017-01-18,41.86638081644461,1
FR,1,ios,male,false,2016-12-14,83.986,8
GB,,ios,female,false,2016-12-27,0,1
US,18,android,female,true,2016-12-29,478.02,45
CR,18,ios,male,true,2017-01-01,41.993,1
SG,2,ios,female,true,2017-01-01,41.993,6
MX,2,ios,female,true,2017-01-09,83.986,17
US,1,android,male,false,2017-01-10,504,31
GB,1,ios,female,false,2017-01-11,293.95799999999997,17
GB,1,ios,female,false,2017-01-19,41.993,13
BD,1,ios,male,false,2017-01-22,0,1
CL,6,ios,male,true,2017-01-22,62.986,2
GB,18,ios,female,true,2017-01-12,42,1
HK,1,ios,male,false,2016-10-19,0,1
AR,18,android,female,true,2016-10-24,42,1
GB,2,ios,female,true,2016-10-30,0,1
US,1,android,female,false,2016-11-07,310.02,14
AU,2,ios,male,true,2016-11-08,41.993,5
NZ,18,android,male,true,2016-11-12,34.42623315108146,2
MX,1,ios,female,false,2016-11-19,62.986,2
US,18,android,male,true,2016-12-02,105,14
US,1,android,male,false,2016-12-03,336,18
FR,18,android,male,true,2016-12-28,16.66387250518784,2
SA,1,ios,male,false,2017-01-02,77.45,1
CH,1,android,male,false,2017-01-07,98.70204079438741,4
US,,ios,female,false,2017-01-09,314.95799999999997,27
US,1,android,male,false,2017-01-11,426.06,25
GB,2,android,male,true,2017-01-12,108.77345131009446,7
FR,2,ios,male,true,2017-01-18,146.972,8
AE,18,ios,female,true,2017-01-27,41.993,1
SA,1,ios,male,false,2017-01-28,0,1
CH,18,android,male,true,2017-01-28,0,1
CO,1,ios,female,false,2017-01-10,62.992999999999995,5
CH,2,android,female,true,2016-11-16,81.79152401700561,9
US,2,android,male,true,2016-11-28,315,14
UA,1,android,female,false,2016-11-28,0,1
DE,2,ios,female,true,2016-12-10,0,1
CL,,android,male,false,2016-12-14,58.02,1
US,3,ios,female,true,2016-12-29,188.965,10
MX,2,android,female,true,2017-01-04,157.0717110287785,23
US,,android,male,false,2017-01-04,42,4
CH,18,ios,female,true,2017-01-07,0,1
FR,1,ios,female,false,2017-01-12,104.972,11
NZ,18,ios,female,true,2017-01-13,0,2
NC,1,ios,female,false,2017-01-18,62.986,2
ES,2,ios,female,true,2017-01-20,125.979,13
AU,1,ios,male,false,2017-01-23,83.986,4
US,9,ios,female,true,2017-01-30,0,4
AR,2,ios,female,true,2017-01-31,125.979,7
RU,1,ios,female,false,2016-12-08,0,1
MX,1,android,female,false,2016-11-01,63.13431396323831,4
US,,ios,female,false,2016-11-18,83.979,11
DE,1,ios,male,false,2016-11-28,20.993,5
AR,1,ios,female,false,2016-12-26,125.986,3
MX,1,ios,female,false,2016-12-27,62.992999999999995,9
AU,18,android,male,true,2017-01-04,78.42661568336452,6
MX,2,android,male,true,2017-01-09,73.9561762899145,15
CA,,ios,male,false,2017-01-15,188.965,16
GT,2,ios,male,true,2017-01-22,41.993,2
SA,1,ios,female,false,2016-10-03,41.993,2
GB,18,android,male,true,2016-10-27,17.313693428415053,3
GT,2,ios,male,true,2016-10-27,0,1
US,6,ios,female,true,2016-10-30,251.951,11
PL,,ios,male,false,2016-12-29,0,1
LU,2,ios,female,true,2016-12-31,20.993,3
US,1,ios,female,false,2017-01-07,671.8810000000001,62
IE,,android,female,false,2017-01-22,0,1
MX,12,ios,male,false,2016-11-20,20.993,1
AR,2,android,female,true,2016-10-16,84,2
AR,1,android,female,false,2016-10-20,42,2
MX,2,android,female,true,2016-11-14,31.886349775784755,2
CO,4,ios,female,true,2016-11-27,27.993,1
TR,6,ios,male,true,2016-12-08,0,1
US,,ios,male,false,2016-12-23,125.986,12
NC,2,ios,female,true,2017-01-02,62.986,3
IS,4,ios,male,true,2017-01-30,20.993,1
CO,,ios,female,false,2017-01-14,0,1
MX,6,ios,female,true,2017-01-15,230.958,11
ZA,2,ios,female,true,2017-01-16,0,3
AU,2,ios,male,true,2017-01-19,98.443,5
US,6,ios,female,true,2017-01-21,83.979,4
CA,3,ios,female,true,2017-01-22,209.958,8
US,9,ios,male,true,2016-10-01,83.986,6
PE,1,ios,male,false,2016-10-16,20.993,1
FR,2,android,female,true,2016-11-30,16.950050366698484,2
SI,2,ios,male,true,2017-01-23,0,1
US,3,ios,male,true,2017-01-10,62.992999999999995,11
US,,web,female,false,2017-01-10,77.45,1
US,2,android,female,true,2017-01-22,294,18
AR,1,ios,male,false,2017-01-24,20.993,1
KW,2,ios,female,true,2016-11-05,41.993,1
CA,2,android,female,true,2016-11-14,117.44968212084083,17
GB,18,ios,female,true,2016-11-27,0,2
US,,ios,female,false,2016-12-04,245.422,15
FR,1,ios,male,false,2016-12-07,83.979,9
ES,1,android,female,false,2016-12-11,66.66976404659681,3
GB,1,ios,female,false,2016-12-12,41.993,2
US,4,ios,female,true,2016-12-12,83.986,12
US,4,ios,female,true,2016-12-18,413.38,31
US,18,ios,female,true,2016-12-20,20.993,2
SE,1,ios,male,false,2016-12-21,0,1
KR,2,ios,female,true,2016-12-30,41.993,1
CZ,2,ios,female,true,2017-01-02,0,3
GB,1,android,male,false,2017-01-10,115.13329934831856,3
US,18,android,female,true,2017-01-15,252,18
US,1,android,female,false,2017-01-26,420,20
US,6,android,male,true,2017-01-26,0,1
AR,1,ios,male,false,2017-01-30,41.993,1
US,2,ios,male,true,2017-01-21,41.993,4
TT,18,android,male,true,2017-01-22,0,2
AU,18,android,female,true,2016-10-07,61.472603248213744,2
US,1,ios,male,false,2016-10-05,209.958,16
DE,1,ios,female,false,2016-10-17,0,3
AU,2,ios,female,true,2016-11-02,0,2
CH,2,android,female,true,2016-11-03,77.58389288093876,7
US,1,ios,male,false,2016-11-04,146.972,17
QA,18,android,female,true,2016-11-05,0,1
SG,1,ios,female,false,2016-11-07,0,1
ES,,ios,female,false,2016-12-14,20.993,1
AU,2,android,male,true,2016-11-20,79.35729300385525,13
US,18,ios,female,true,2016-11-27,132.972,9
US,4,ios,female,true,2016-11-30,209.965,27
US,13,android,female,false,2016-12-10,42,2
AU,1,ios,female,false,2016-12-26,41.993,6
US,6,ios,female,true,2016-12-28,209.95800000000003,15
SK,2,ios,female,true,2017-01-01,0,2
GB,2,android,male,true,2017-01-02,278.497361018271,32
GB,18,ios,female,true,2017-01-02,83.986,7
IT,18,ios,female,true,2017-01-04,0,1
GB,1,ios,male,false,2017-01-04,125.972,18
ES,2,ios,female,true,2017-01-04,251.951,20
IE,18,ios,female,true,2017-01-08,20.993,1
US,1,android,male,false,2017-01-07,683.04,38
FR,6,ios,female,true,2017-01-08,41.993,3
ZA,2,ios,female,true,2017-01-09,83.986,7
AT,2,ios,male,true,2017-01-09,146.972,6
US,1,ios,male,false,2017-01-09,1330.69,101
GB,2,ios,female,true,2017-01-10,62.986,9
US,18,ios,male,true,2017-01-12,83.986,5
AU,6,ios,male,true,2017-01-24,0,2
US,2,ios,male,true,2017-01-26,146.972,15
CA,1,ios,female,false,2017-01-30,154.823,12
US,2,ios,female,true,2016-11-28,146.972,15
FR,1,ios,female,false,2016-10-03,923.8320000000001,67
DE,,android,female,false,2016-10-09,0,2
NZ,18,android,female,true,2016-10-10,33.69754510922055,2
AU,18,android,female,true,2016-10-14,0,3
US,3,ios,female,true,2016-10-24,41.993,5
US,1,ios,male,false,2016-10-25,509.984,34
CH,,android,female,false,2016-11-04,0,1
GB,1,ios,male,false,2016-11-07,62.986,12
AR,1,ios,female,false,2016-11-13,41.993,2
GB,18,android,male,true,2016-11-13,31.053265430592916,3
CA,,ios,female,false,2016-11-13,83.986,6
KW,1,ios,male,false,2016-11-25,20.993,1
EC,2,android,female,true,2016-11-30,0,1
CH,,android,male,false,2016-12-30,0,1
HU,,ios,female,false,2016-12-31,0,1
US,4,ios,female,true,2017-01-02,953.559,83
US,18,ios,female,true,2017-01-02,209.965,26
US,18,android,male,true,2017-01-06,231,25
US,4,ios,female,true,2017-01-10,434.373,47
RU,2,ios,male,true,2017-01-11,0,1
ES,2,ios,female,true,2017-01-11,377.679257691647,31
IL,2,ios,male,true,2017-01-11,41.993,1
ES,1,ios,female,false,2017-01-14,251.972,21
ES,1,ios,male,false,2017-01-22,167.972,27
CH,2,ios,female,true,2017-01-23,440.916,24
US,18,ios,female,true,2017-01-07,272.951,21
MX,1,ios,female,false,2016-10-11,20.993,3
AE,2,android,female,true,2016-10-01,41.92420133290755,3
CH,2,android,female,true,2016-10-02,0,4
US,6,ios,male,true,2016-10-08,203.429,6
US,1,android,female,false,2016-10-10,184.02,16
CA,2,android,male,true,2016-10-10,76.65919699326089,12
DE,,android,female,false,2016-10-16,0,1
FR,2,ios,male,true,2016-10-23,0,2
GB,1,ios,male,false,2016-10-25,356.937,33
US,6,ios,female,true,2016-11-28,146.972,10
CO,2,android,female,true,2017-01-03,146.38,3
CO,2,ios,female,true,2016-12-14,0,2
CA,18,android,male,true,2016-12-27,20.62387150035377,6
US,4,ios,female,true,2016-12-29,230.958,36
GB,2,ios,female,true,2017-01-01,209.965,21
US,2,android,female,true,2017-01-05,294,24
BR,1,android,female,false,2017-01-09,41.162304314764135,1
MU,2,ios,female,true,2017-01-23,20.993,2
CH,2,android,female,true,2016-11-05,293.01292906564123,11
US,1,android,male,false,2016-11-27,252,15
MX,,android,male,false,2016-12-02,0,1
DO,2,android,male,true,2016-12-05,0,1
AE,2,ios,female,true,2016-12-18,41.993,1
US,4,ios,male,true,2016-12-24,167.972,12
CA,6,ios,male,true,2017-01-05,41.993,2
MX,1,ios,female,false,2017-01-08,125.972,7
FR,,ios,female,false,2017-01-10,20.993,3
PR,2,android,male,true,2017-01-16,84,5
US,4,ios,female,true,2017-01-20,125.979,24
US,,ios,female,false,2017-01-22,518.359,43
MX,2,ios,female,true,2017-01-30,125.979,22
CL,2,ios,female,true,2016-10-10,41.993,2
US,,ios,female,false,2016-10-23,80.57,8
BH,1,ios,male,false,2016-11-01,0,1
GB,,ios,male,false,2016-11-06,83.986,5
US,4,ios,male,true,2016-11-07,335.937,22
US,2,ios,male,true,2016-11-19,146.972,17
DE,1,android,male,false,2016-11-30,68.23291653795806,4
US,1,ios,male,false,2016-12-03,293.951,35
US,1,ios,male,false,2016-12-24,293.95799999999997,15
AR,,ios,female,false,2016-12-11,41.993,2
US,18,android,male,true,2016-12-25,84,12
AU,2,android,female,true,2016-12-30,165.16732221986103,10
CA,1,android,female,false,2017-01-04,158.56007348717935,10
CH,2,ios,male,true,2017-01-05,419.923,25
US,18,android,female,true,2017-01-05,394.02,41
US,3,ios,female,true,2017-01-06,209.965,19
IL,,ios,female,false,2017-01-07,0,1
ES,2,android,male,true,2017-01-10,164.1253172855283,24
CL,2,ios,female,true,2017-01-10,272.951,11
AR,2,android,female,true,2017-01-14,126,5
AU,2,android,female,true,2017-01-16,163.00777053018763,11
US,13,ios,male,false,2017-01-16,0,6
ES,6,ios,female,true,2017-01-18,314.951,12
US,3,ios,male,true,2017-01-19,185.535,25
PE,11,ios,female,false,2017-01-21,0,1
AU,,ios,female,false,2017-01-26,0,3
AR,2,android,male,true,2017-01-30,168,7
AE,2,ios,male,true,2016-10-07,0,2
US,,ios,female,false,2016-10-14,272.944,15
US,1,ios,female,false,2016-11-07,440.902,43
CH,1,ios,female,false,2016-11-11,83.986,4
US,18,android,female,true,2016-11-21,168,15
GB,,ios,female,false,2016-12-01,0,2
AU,1,ios,female,false,2016-12-05,83.986,4
AU,18,android,female,true,2016-12-06,40.061397960150266,3
US,1,ios,female,false,2016-12-26,692.8950000000001,40
CO,2,ios,male,true,2017-01-01,125.979,7
CO,2,ios,male,true,2017-01-02,272.944,23
DE,2,android,female,true,2017-01-06,0,5
CA,6,ios,female,true,2017-01-12,83.993,6
US,,ios,male,false,2017-01-14,419.93,31
FR,2,ios,female,true,2017-01-14,62.986,9
SA,18,ios,male,true,2016-10-15,41.993,1
PA,18,ios,female,true,2016-10-17,0,1
SA,1,ios,female,false,2016-10-25,0,1
DO,2,android,female,true,2016-10-28,0,2
CH,12,ios,female,false,2016-11-04,0,1
PE,1,ios,female,false,2016-11-20,0,2
US,1,android,female,false,2016-12-04,310.02,19
NZ,1,android,female,false,2017-01-03,69.84379930670855,3
CA,2,android,female,true,2017-01-04,160.4774011706472,16
GB,2,ios,male,true,2017-01-06,0,3
BS,2,ios,female,true,2017-01-11,0,1
ES,1,ios,female,false,2017-01-27,83.986,12
CA,2,ios,female,true,2017-01-27,0,3
AR,1,ios,female,false,2016-11-29,20.993,2
GB,2,ios,male,true,2016-10-03,0,1
AU,1,android,male,false,2016-11-23,0,1
IS,1,ios,female,false,2016-12-31,0,1
ZA,,ios,female,false,2017-01-05,41.993,1
NI,2,ios,female,true,2017-01-06,0,1
FR,18,android,male,true,2017-01-10,16.883764159433888,2
FR,6,ios,male,true,2017-01-14,62.986,7
ES,1,android,male,false,2017-01-14,0,6
AU,2,ios,female,true,2017-01-16,0,1
MX,2,android,male,true,2017-01-16,64.16664341730302,15
ES,2,android,male,true,2017-01-21,0,3
CO,2,ios,female,true,2017-01-23,83.986,7
AE,1,ios,male,false,2017-01-30,37.61,2
QA,1,ios,female,false,2016-11-18,0,1
DE,1,android,female,false,2016-10-25,0,4
AR,1,ios,male,false,2016-11-06,0,1
AR,2,ios,female,true,2016-11-12,0,1
AU,18,ios,male,true,2016-11-22,0,1
GB,18,android,female,true,2016-11-29,17.327362990403678,4
CA,18,ios,male,true,2016-12-03,0,1
US,2,android,male,true,2016-12-31,0,7
CR,2,ios,male,true,2017-01-05,161.429,11
AT,,ios,female,false,2017-01-12,0,1
FR,,ios,male,false,2017-01-21,41.993,2
ES,,android,female,false,2017-01-24,0,1
US,1,android,male,false,2016-11-29,189,11
AU,18,ios,female,true,2016-11-12,0,1
CH,1,ios,male,false,2016-11-18,20.993,3
US,18,android,female,true,2016-11-19,42,10
US,,ios,female,false,2016-11-22,172.339,17
AE,2,ios,female,true,2016-11-28,41.993,1
UNKNOWN,1,ios,female,false,2016-12-11,83.986,3
ES,,ios,male,false,2017-01-08,209.958,11
